ELEM,STATION,BEDEL,DEPTH,WSEL,VEL_NORM,FROUDE,QS_NORM
29409.0,0.0,1340.95,0.03,1340.98,-0.14,2.43,0.0
29409.0,0.96,1340.95,0.03,1340.98,-0.14,2.43,0.0
29409.0,1.91,1340.95,0.03,1340.98,-0.14,2.43,0.0
29613.0,2.87,1341.0,0.02,1341.02,-0.05,3.08,0.0
29613.0,3.82,1341.0,0.02,1341.02,-0.05,3.08,0.0
29613.0,4.78,1341.0,0.02,1341.02,-0.05,3.08,0.0
29292.0,5.73,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,6.69,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,7.65,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,8.6,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,9.56,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,10.51,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,11.47,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,12.42,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,13.38,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,14.34,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,15.29,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,16.25,1341.01,0.04,1341.06,-0.2,2.38,0.0
29292.0,17.2,1341.01,0.04,1341.06,-0.2,2.38,0.0
29606.0,18.16,1341.68,0.04,1341.72,-0.21,2.38,0.0
29606.0,19.11,1341.68,0.04,1341.72,-0.21,2.38,0.0
29606.0,20.07,1341.68,0.04,1341.72,-0.21,2.38,0.0
29304.0,21.03,1341.74,0.04,1341.77,0.34,2.82,0.0
29304.0,21.98,1341.74,0.04,1341.77,0.34,2.82,0.0
29304.0,22.94,1341.74,0.04,1341.77,0.34,2.82,0.0
29304.0,23.89,1341.74,0.04,1341.77,0.34,2.82,0.0
29304.0,24.85,1341.74,0.04,1341.77,0.34,2.82,0.0
29304.0,25.8,1341.74,0.04,1341.77,0.34,2.82,0.0
29304.0,26.76,1341.74,0.04,1341.77,0.34,2.82,0.0
29304.0,27.72,1341.74,0.04,1341.77,0.34,2.82,0.0
29305.0,28.67,1341.24,0.22,1341.46,-4.87,3.64,0.0
29305.0,29.63,1341.24,0.22,1341.46,-4.87,3.64,0.0
29305.0,30.58,1341.24,0.22,1341.46,-4.87,3.64,0.0
29305.0,31.54,1341.24,0.22,1341.46,-4.87,3.64,0.0
29305.0,32.49,1341.24,0.22,1341.46,-4.87,3.64,0.0
29305.0,33.45,1341.24,0.22,1341.46,-4.87,3.64,0.0
29305.0,34.41,1341.24,0.22,1341.46,-4.87,3.64,0.0
29394.0,35.36,1340.3,1.41,1341.71,-4.31,1.19,0.0
29394.0,36.32,1340.3,1.41,1341.71,-4.31,1.19,0.0
29394.0,37.27,1340.3,1.41,1341.71,-4.31,1.19,0.0
29394.0,38.23,1340.3,1.41,1341.71,-4.31,1.19,0.0
29208.0,39.18,1339.16,3.03,1342.19,-2.58,0.48,0.0
29239.0,40.14,1338.0,3.94,1341.94,-5.94,0.96,0.0
29239.0,41.1,1338.0,3.94,1341.94,-5.94,0.96,0.0
29209.0,42.05,1338.0,3.78,1341.78,-6.14,1.01,0.0
29209.0,43.01,1338.0,3.78,1341.78,-6.14,1.01,0.0
29250.0,43.96,1338.0,3.69,1341.69,-6.2,1.03,0.0
29250.0,44.92,1338.0,3.69,1341.69,-6.2,1.03,0.0
29250.0,45.87,1338.0,3.69,1341.69,-6.2,1.03,0.0
29250.0,46.83,1338.0,3.69,1341.69,-6.2,1.03,0.0
29213.0,47.79,1338.0,3.3,1341.3,-6.66,1.18,0.0
29275.0,48.74,1339.1,2.27,1341.37,-3.5,0.79,0.0
29234.0,49.7,1340.36,1.1,1341.47,-4.8,1.53,0.0
29234.0,50.65,1340.36,1.1,1341.47,-4.8,1.53,0.0
29234.0,51.61,1340.36,1.1,1341.47,-4.8,1.53,0.0
29234.0,52.56,1340.36,1.1,1341.47,-4.8,1.53,0.0
29234.0,53.52,1340.36,1.1,1341.47,-4.8,1.53,0.0
29268.0,54.48,1341.04,0.18,1341.23,-4.64,3.98,0.0
29268.0,55.43,1341.04,0.18,1341.23,-4.64,3.98,0.0
29268.0,56.39,1341.04,0.18,1341.23,-4.64,3.98,0.0
29268.0,57.34,1341.04,0.18,1341.23,-4.64,3.98,0.0
29268.0,58.3,1341.04,0.18,1341.23,-4.64,3.98,0.0
29268.0,59.25,1341.04,0.18,1341.23,-4.64,3.98,0.0
29261.0,60.21,1342.0,0.02,1342.02,-2.02,4.62,0.0
29284.0,61.17,1341.87,0.03,1341.89,-1.91,4.25,0.0
29284.0,62.12,1341.87,0.03,1341.89,-1.91,4.25,0.0
29284.0,63.08,1341.87,0.03,1341.89,-1.91,4.25,0.0
29284.0,64.03,1341.87,0.03,1341.89,-1.91,4.25,0.0
29284.0,64.99,1341.87,0.03,1341.89,-1.91,4.25,0.0
29284.0,65.94,1341.87,0.03,1341.89,-1.91,4.25,0.0
29284.0,66.9,1341.87,0.03,1341.89,-1.91,4.25,0.0
29284.0,67.86,1341.87,0.03,1341.89,-1.91,4.25,0.0
29260.0,68.81,1341.41,0.02,1341.43,-2.03,5.27,0.0
29260.0,69.77,1341.41,0.02,1341.43,-2.03,5.27,0.0
29260.0,70.72,1341.41,0.02,1341.43,-2.03,5.27,0.0
29220.0,71.68,1340.92,0.03,1340.94,-0.03,0.4,0.0
29220.0,72.63,1340.92,0.03,1340.94,-0.03,0.4,0.0
29220.0,73.59,1340.92,0.03,1340.94,-0.03,0.4,0.0
29220.0,74.55,1340.92,0.03,1340.94,-0.03,0.4,0.0
29220.0,75.5,1340.92,0.03,1340.94,-0.03,0.4,0.0
29220.0,76.46,1340.92,0.03,1340.94,-0.03,0.4,0.0
29220.0,77.41,1340.92,0.03,1340.94,-0.03,0.4,0.0
29220.0,78.37,1340.92,0.03,1340.94,-0.03,0.4,0.0
29283.0,79.32,1340.03,0.03,1340.06,-0.15,0.31,0.0
29283.0,80.28,1340.03,0.03,1340.06,-0.15,0.31,0.0
29216.0,81.24,1340.91,0.0,1340.91,0.0,0.0,0.0
29216.0,82.19,1340.91,0.0,1340.91,0.0,0.0,0.0
29216.0,83.15,1340.91,0.0,1340.91,0.0,0.0,0.0
29216.0,84.1,1340.91,0.0,1340.91,0.0,0.0,0.0
29216.0,85.06,1340.91,0.0,1340.91,0.0,0.0,0.0
29216.0,86.02,1340.91,0.0,1340.91,0.0,0.0,0.0
29216.0,86.97,1340.91,0.0,1340.91,0.0,0.0,0.0
29216.0,87.93,1340.91,0.0,1340.91,0.0,0.0,0.0
29273.0,88.88,1341.8,0.0,1341.8,0.0,0.0,0.0
29273.0,89.84,1341.8,0.0,1341.8,0.0,0.0,0.0
29273.0,90.79,1341.8,0.0,1341.8,0.0,0.0,0.0
29273.0,91.75,1341.8,0.0,1341.8,0.0,0.0,0.0
29273.0,92.71,1341.8,0.0,1341.8,0.0,0.0,0.0
29244.0,93.66,1342.62,0.0,1342.62,0.0,0.0,0.0
29244.0,94.62,1342.62,0.0,1342.62,0.0,0.0,0.0
